"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"ПЗПІ-23-1 - ПрПА Пз DL ПЗПІ-23-1","10.03.2025","07:45:00","10.03.2025","09:20:00","Ложь","Истина","10.03.2025","07:40:00","2","Обычная","ПрПА Пз DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ПрПА Лб DL ПЗПІ-23-1","17.03.2025","07:45:00","17.03.2025","09:20:00","Ложь","Истина","17.03.2025","07:40:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - *ВІА Лб DL *ВІА(ПЗПІ-23-)-1","31.03.2025","07:45:00","31.03.2025","09:20:00","Ложь","Истина","31.03.2025","07:40:00","2","Обычная","*ВІА Лб DL *ВІА(ПЗПІ-23-)-1","Обычный"
"ПЗПІ-23-1 - ПрПА Лб DL ПЗПІ-23-1","07.04.2025","07:45:00","07.04.2025","09:20:00","Ложь","Истина","07.04.2025","07:40:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - *ВІА Пз DL *ВІА(ПЗПІ-23-)-1","14.04.2025","07:45:00","14.04.2025","09:20:00","Ложь","Истина","14.04.2025","07:40:00","2","Обычная","*ВІА Пз DL *ВІА(ПЗПІ-23-)-1","Обычный"
"ПЗПІ-23-1 - ПрПА Лб DL ПЗПІ-23-1","28.04.2025","07:45:00","28.04.2025","09:20:00","Ложь","Истина","28.04.2025","07:40:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - *ВІА Лб DL *ВІА(ПЗПІ-23-)-1","12.05.2025","07:45:00","12.05.2025","09:20:00","Ложь","Истина","12.05.2025","07:40:00","2","Обычная","*ВІА Лб DL *ВІА(ПЗПІ-23-)-1","Обычный"
"ПЗПІ-23-1 - ПрПА Лб DL ПЗПІ-23-1","19.05.2025","07:45:00","19.05.2025","09:20:00","Ложь","Истина","19.05.2025","07:40:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - *ОРО Зал DL *ОРО(ПЗПІ-23-)-1","09.06.2025","07:45:00","09.06.2025","09:20:00","Ложь","Истина","09.06.2025","07:40:00","2","Обычная","*ОРО Зал DL *ОРО(ПЗПІ-23-)-1","Обычный"
"ПЗПІ-23-2 - *ОРО Зал DL *ОРО(ПЗПІ-23-)-1","09.06.2025","07:45:00","09.06.2025","09:20:00","Ложь","Истина","09.06.2025","07:40:00","2","Обычная","*ОРО Зал DL *ОРО(ПЗПІ-23-)-1","Обычный"
"ПЗПІ-23-3 - ОС Лб DL ПЗПІ-23-3","10.03.2025","07:45:00","10.03.2025","09:20:00","Ложь","Истина","10.03.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОС Лб DL ПЗПІ-23-3","24.03.2025","07:45:00","24.03.2025","09:20:00","Ложь","Истина","24.03.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОС Лб DL ПЗПІ-23-3","07.04.2025","07:45:00","07.04.2025","09:20:00","Ложь","Истина","07.04.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОС Лб DL ПЗПІ-23-3","21.04.2025","07:45:00","21.04.2025","09:20:00","Ложь","Истина","21.04.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОС Лб DL ПЗПІ-23-3","05.05.2025","07:45:00","05.05.2025","09:20:00","Ложь","Истина","05.05.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОС Лб DL ПЗПІ-23-3","19.05.2025","07:45:00","19.05.2025","09:20:00","Ложь","Истина","19.05.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОС Лб DL ПЗПІ-23-3","26.05.2025","07:45:00","26.05.2025","09:20:00","Ложь","Истина","26.05.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОС Лб DL ПЗПІ-23-3","02.06.2025","07:45:00","02.06.2025","09:20:00","Ложь","Истина","02.06.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-4 - ПрПА Пз DL ПЗПІ-23-4","03.03.2025","07:45:00","03.03.2025","09:20:00","Ложь","Истина","03.03.2025","07:40:00","2","Обычная","ПрПА Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ПрПА Лб DL ПЗПІ-23-4","31.03.2025","07:45:00","31.03.2025","09:20:00","Ложь","Истина","31.03.2025","07:40:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ПрПА Лб DL ПЗПІ-23-4","14.04.2025","07:45:00","14.04.2025","09:20:00","Ложь","Истина","14.04.2025","07:40:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ПрПА Лб DL ПЗПІ-23-4","12.05.2025","07:45:00","12.05.2025","09:20:00","Ложь","Истина","12.05.2025","07:40:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ПрПА Лб DL ПЗПІ-23-4","02.06.2025","07:45:00","02.06.2025","09:20:00","Ложь","Истина","02.06.2025","07:40:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - *ОРО Зал DL *ОРО(ПЗПІ-23-)-1","09.06.2025","07:45:00","09.06.2025","09:20:00","Ложь","Истина","09.06.2025","07:40:00","2","Обычная","*ОРО Зал DL *ОРО(ПЗПІ-23-)-1","Обычный"
"ПЗПІ-23-6 - *ВІА Пз DL *ВІА(ПЗПІ-23-)-4","17.03.2025","07:45:00","17.03.2025","09:20:00","Ложь","Истина","17.03.2025","07:40:00","2","Обычная","*ВІА Пз DL *ВІА(ПЗПІ-23-)-4","Обычный"
"ПЗПІ-23-6 - *ВІА Лб DL *ВІА(ПЗПІ-23-)-4","24.03.2025","07:45:00","24.03.2025","09:20:00","Ложь","Истина","24.03.2025","07:40:00","2","Обычная","*ВІА Лб DL *ВІА(ПЗПІ-23-)-4","Обычный"
"ПЗПІ-23-6 - *ВІА Лб DL *ВІА(ПЗПІ-23-)-4","07.04.2025","07:45:00","07.04.2025","09:20:00","Ложь","Истина","07.04.2025","07:40:00","2","Обычная","*ВІА Лб DL *ВІА(ПЗПІ-23-)-4","Обычный"
"ПЗПІ-23-6 - *ВІА Пз DL *ВІА(ПЗПІ-23-)-4","21.04.2025","07:45:00","21.04.2025","09:20:00","Ложь","Истина","21.04.2025","07:40:00","2","Обычная","*ВІА Пз DL *ВІА(ПЗПІ-23-)-4","Обычный"
"ПЗПІ-23-6 - *ВІА Лб DL *ВІА(ПЗПІ-23-)-4","05.05.2025","07:45:00","05.05.2025","09:20:00","Ложь","Истина","05.05.2025","07:40:00","2","Обычная","*ВІА Лб DL *ВІА(ПЗПІ-23-)-4","Обычный"
"ПЗПІ-23-6 - *ВІА Лб DL *ВІА(ПЗПІ-23-)-4","19.05.2025","07:45:00","19.05.2025","09:20:00","Ложь","Истина","19.05.2025","07:40:00","2","Обычная","*ВІА Лб DL *ВІА(ПЗПІ-23-)-4","Обычный"
"ПЗПІ-23-6 - *ВІА Лб DL *ВІА(ПЗПІ-23-)-4","02.06.2025","07:45:00","02.06.2025","09:20:00","Ложь","Истина","02.06.2025","07:40:00","2","Обычная","*ВІА Лб DL *ВІА(ПЗПІ-23-)-4","Обычный"
"ПЗПІ-23-6 - *ОРО Зал DL *ОРО(ПЗПІ-23-)-1","09.06.2025","07:45:00","09.06.2025","09:20:00","Ложь","Истина","09.06.2025","07:40:00","2","Обычная","*ОРО Зал DL *ОРО(ПЗПІ-23-)-1","Обычный"
"ПЗПІ-23-7 - *ВІА Пз DL *ВІА(ПЗПІ-23-)-4","17.03.2025","07:45:00","17.03.2025","09:20:00","Ложь","Истина","17.03.2025","07:40:00","2","Обычная","*ВІА Пз DL *ВІА(ПЗПІ-23-)-4","Обычный"
"ПЗПІ-23-7 - *ВІА Лб DL *ВІА(ПЗПІ-23-)-4","24.03.2025","07:45:00","24.03.2025","09:20:00","Ложь","Истина","24.03.2025","07:40:00","2","Обычная","*ВІА Лб DL *ВІА(ПЗПІ-23-)-4","Обычный"
"ПЗПІ-23-7 - *ВІА Лб DL *ВІА(ПЗПІ-23-)-4","07.04.2025","07:45:00","07.04.2025","09:20:00","Ложь","Истина","07.04.2025","07:40:00","2","Обычная","*ВІА Лб DL *ВІА(ПЗПІ-23-)-4","Обычный"
"ПЗПІ-23-7 - *ВІА Пз DL *ВІА(ПЗПІ-23-)-4","21.04.2025","07:45:00","21.04.2025","09:20:00","Ложь","Истина","21.04.2025","07:40:00","2","Обычная","*ВІА Пз DL *ВІА(ПЗПІ-23-)-4","Обычный"
"ПЗПІ-23-7 - *ВІА Лб DL *ВІА(ПЗПІ-23-)-4","05.05.2025","07:45:00","05.05.2025","09:20:00","Ложь","Истина","05.05.2025","07:40:00","2","Обычная","*ВІА Лб DL *ВІА(ПЗПІ-23-)-4","Обычный"
"ПЗПІ-23-7 - *ВІА Лб DL *ВІА(ПЗПІ-23-)-4","19.05.2025","07:45:00","19.05.2025","09:20:00","Ложь","Истина","19.05.2025","07:40:00","2","Обычная","*ВІА Лб DL *ВІА(ПЗПІ-23-)-4","Обычный"
"ПЗПІ-23-7 - *ВІА Лб DL *ВІА(ПЗПІ-23-)-4","02.06.2025","07:45:00","02.06.2025","09:20:00","Ложь","Истина","02.06.2025","07:40:00","2","Обычная","*ВІА Лб DL *ВІА(ПЗПІ-23-)-4","Обычный"
"ПЗПІ-23-8 - *ВІА Пз DL *ВІА(ПЗПІ-23-)-4","17.03.2025","07:45:00","17.03.2025","09:20:00","Ложь","Истина","17.03.2025","07:40:00","2","Обычная","*ВІА Пз DL *ВІА(ПЗПІ-23-)-4","Обычный"
"ПЗПІ-23-8 - *ВІА Лб DL *ВІА(ПЗПІ-23-)-4","24.03.2025","07:45:00","24.03.2025","09:20:00","Ложь","Истина","24.03.2025","07:40:00","2","Обычная","*ВІА Лб DL *ВІА(ПЗПІ-23-)-4","Обычный"
